Stream Class,Pixels,Mean Inflow (mm/d),Max Inflow (mm/d),Total Cumulative
Main Stream,97,8.198081016540527,8.198081016540527,795.2138671875
Tributary,26,12.448474884033203,12.448474884033203,323.66033935546875
Ditch,13,0.40317872166633606,0.40317872166633606,5.241323471069336
